Year,No,Position,Player,Words,OneName,DOB,Age,Caps,Club,ClubCountry
1950,2,DF,Augusto,1,TRUE,22-Oct-20,29,12,Brazil Vasco da Gama,Brazil
1950,3,DF,Nílton Santos,2,FALSE,16-May-27,23,5,Brazil Botafogo,Brazil
1950,4,MF,Bauer,1,TRUE,21-Nov-25,24,6,Brazil São Paulo,Brazil
1950,5,MF,Danilo,1,TRUE,3-Dec-20,29,15,Brazil Vasco da Gama,Brazil
1950,6,MF,Bigode,1,TRUE,4-Apr-22,28,5,Brazil Flamengo,Brazil
1950,7,FW,Friaça,1,TRUE,20-Oct-24,25,6,Brazil São Paulo,Brazil
1950,8,FW,Zizinho,1,TRUE,14-Sep-22,27,30,Brazil Bangu,Brazil
1950,9,FW,Ademir,1,TRUE,8-Nov-22,27,25,Brazil Vasco da Gama,Brazil
1950,10,FW,Jair,1,TRUE,21-Mar-21,29,32,Brazil Palmeiras,Brazil
1950,11,FW,Chico,1,TRUE,7-Jan-22,28,15,Brazil Vasco da Gama,Brazil
1950,-,FW,Baltazar,1,TRUE,14-Jan-26,24,4,Brazil Corinthians,Brazil
1950,-,DF,Juvenal,1,TRUE,27-Nov-23,26,4,Brazil Flamengo,Brazil
1950,-,GK,Castilho,1,TRUE,27-Nov-27,22,2,Brazil Fluminense,Brazil
1950,-,FW,Rodrigues,1,TRUE,27-Jun-25,24,2,Brazil Fluminense,Brazil
1950,-,FW,Adãozinho,1,TRUE,2-Apr-23,27,2,Brazil Internacional,Brazil
1950,-,DF,Nena,1,TRUE,27-Mar-21,29,5,Brazil Internacional,Brazil
1950,-,MF,Noronha,1,TRUE,25-Sep-18,31,15,Brazil São Paulo,Brazil
1950,-,MF,Rui,1,TRUE,2-Aug-22,27,27,Brazil São Paulo,Brazil
1950,-,FW,Alfredo,1,TRUE,1-Jan-20,30,0,Brazil Vasco da Gama,Brazil
1950,-,DF,Ely,1,TRUE,14-May-21,29,8,Brazil Vasco da Gama,Brazil
1950,-,FW,Maneca,1,TRUE,28-Jan-26,24,3,Brazil Vasco da Gama,Brazil
1954,1,GK,Castilho,1,TRUE,27-Nov-27,26,13,Brazil Fluminense,Brazil
1954,2,DF,Djalma Santos,2,FALSE,27-Feb-29,25,14,Brazil Portuguesa,Brazil
1954,3,DF,Nílton Santos,2,FALSE,16-May-27,27,18,Brazil Botafogo,Brazil
1954,4,DF,Brandãozinho,1,TRUE,9-Jun-25,29,12,Brazil Portuguesa,Brazil
1954,5,MF,Pinheiro,1,TRUE,13-Jan-32,22,13,Brazil Fluminense,Brazil
1954,6,MF,Bauer,1,TRUE,21-Nov-25,28,21,Brazil São Paulo FC,Brazil
1954,7,FW,Julinho,1,TRUE,29-Jul-29,24,13,Brazil Portuguesa,Brazil
1954,8,MF,Didi,1,TRUE,8-Oct-29,24,13,Brazil Fluminense,Brazil
1954,9,FW,Baltazar,1,TRUE,14-Jan-26,28,19,Brazil Corinthians,Brazil
1954,10,FW,Pinga,1,TRUE,11-Feb-24,30,14,Brazil Vasco da Gama,Brazil
1954,11,FW,Rodrigues,1,TRUE,27-Jun-25,28,14,Brazil Palmeiras,Brazil
1954,12,DF,Paulinho,1,TRUE,15-Apr-32,22,,Brazil Vasco da Gama,Brazil
1954,13,DF,Alfredo,1,TRUE,27-Oct-24,29,,Brazil São Paulo FC,Brazil
1954,14,MF,Ely,1,TRUE,14-May-21,33,15,Brazil Vasco da Gama,Brazil
1954,15,DF,Mauro,1,TRUE,30-Aug-30,23,4,Brazil São Paulo FC,Brazil
1954,16,MF,Dequinha,1,TRUE,19-Mar-28,26,7,Brazil Flamengo,Brazil
1954,17,FW,Maurinho,1,TRUE,6-Jun-33,21,0,Brazil São Paulo FC,Brazil
1954,18,FW,Humberto,1,TRUE,4-Feb-34,20,3,Brazil Palmeiras,Brazil
1954,19,FW,Índio,1,TRUE,1-Mar-31,23,0,Brazil Flamengo,Brazil
1954,20,FW,Rubens,1,TRUE,4-Nov-28,25,1,Brazil Flamengo,Brazil
1954,21,GK,Veludo,1,TRUE,7-Aug-30,23,3,Brazil Fluminense,Brazil
1954,22,GK,Cabeção,1,TRUE,23-Aug-30,23,,Brazil Corinthians,Brazil
1958,1,GK,Carlos José Castilho,3,FALSE,27-Nov-27,30,20,Brazil Fluminense,Brazil
1958,2,DF,Hilderaldo Bellini,2,FALSE,7-Jun-30,28,8,Brazil Vasco da Gama,Brazil
1958,3,GK,Gilmar,1,TRUE,22-Aug-30,27,31,Brazil Corinthians,Brazil
1958,4,DF,Djalma Santos,2,FALSE,27-Feb-29,29,47,Brazil Portuguesa,Brazil
1958,5,MF,Dino Sani,2,FALSE,23-May-32,26,5,Brazil São Paulo,Brazil
1958,6,MF,Didi,1,TRUE,8-Oct-29,28,41,Brazil Botafogo,Brazil
1958,7,FW,Mário Zagallo,2,FALSE,9-Aug-31,26,3,Brazil Flamengo,Brazil
1958,8,MF,Oreco,1,TRUE,13-Jun-32,25,9,Brazil Corinthians,Brazil
1958,9,MF,Zózimo,1,TRUE,19-Jun-32,25,26,Brazil Bangu,Brazil
1958,10,FW,Pelé,1,TRUE,23-Oct-40,17,5,Brazil Santos,Brazil
1958,11,FW,Garrincha,1,TRUE,28-Oct-33,24,8,Brazil Botafogo,Brazil
1958,12,DF,Nílton Santos,2,FALSE,16-May-27,31,46,Brazil Botafogo,Brazil
1958,13,MF,Moacir,1,TRUE,18-May-36,22,5,Brazil Flamengo,Brazil
1958,14,DF,De Sordi,2,FALSE,14-Feb-31,27,14,Brazil São Paulo,Brazil
1958,15,DF,Orlando,1,TRUE,20-Sep-35,22,1,Brazil Vasco da Gama,Brazil
1958,16,DF,Mauro Ramos,2,FALSE,30-Aug-30,27,10,Brazil São Paulo,Brazil
1958,17,FW,Joel Antônio Martins,3,FALSE,11-Nov-31,26,11,Brazil Flamengo,Brazil
1958,18,FW,Mazzola,1,TRUE,24-Jul-38,19,5,Brazil Palmeiras,Brazil
1958,19,MF,Zito,1,TRUE,18-Aug-32,25,3,Brazil Santos,Brazil
1958,20,FW,Vavá,1,TRUE,12-Nov-34,23,3,Brazil Vasco da Gama,Brazil
1958,21,FW,Dida,1,TRUE,26-Mar-34,24,3,Brazil Flamengo,Brazil
1958,22,FW,Pepe,1,TRUE,25-Feb-35,23,11,Brazil Santos,Brazil
1962,1,GK,Gilmar,1,TRUE,22-Aug-30,31,,Brazil Santos,Brazil
1962,2,DF,Djalma Santos,2,FALSE,27-Feb-29,33,,Brazil Palmeiras,Brazil
1962,3,DF,Mauro,1,TRUE,30-Aug-30,31,,Brazil Santos,Brazil
1962,4,MF,Zito,1,TRUE,18-Aug-32,29,,Brazil Santos,Brazil
1962,5,DF,Zózimo,1,TRUE,19-Jun-32,29,,Brazil Bangu,Brazil
1962,6,DF,Nílton Santos,2,FALSE,16-May-25,37,,Brazil Botafogo,Brazil
1962,7,FW,Garrincha,1,TRUE,28-Oct-33,28,,Brazil Botafogo,Brazil
