Year,No,Position,Player,Words,OneName,DOB,Age,Caps,Club,ClubCountry
1990,4,MF,Dunga,1,TRUE,31-Oct-63,26,,Italy Fiorentina,Italy
1990,5,MF,Alemão,1,TRUE,22-Nov-61,28,,Italy Napoli,Italy
1990,6,DF,Branco,1,TRUE,4-Apr-64,26,,Portugal Porto,Portugal
1990,7,MF,Bismarck,1,TRUE,11-Sep-69,20,,Brazil Vasco da Gama,Brazil
1990,8,MF,Valdo,1,TRUE,12-Jan-64,26,,Portugal Benfica,Portugal
1990,9,FW,Careca,1,TRUE,5-Oct-60,29,,Italy Napoli,Italy
1990,10,MF,Silas,1,TRUE,27-Aug-65,24,,Uruguay Central Español,Uruguay
1990,11,FW,Romário,1,TRUE,29-Jan-66,24,,Netherlands PSV,Netherlands
1990,12,GK,Acácio,1,TRUE,20-Jan-59,31,,Brazil Vasco da Gama,Brazil
1990,13,DF,Carlos Mozer,2,FALSE,19-Sep-60,29,,France Marseille,France
1990,14,DF,Aldair,1,TRUE,30-Nov-65,24,,Portugal Benfica,Portugal
1990,15,FW,Müller,1,TRUE,31-Jan-66,24,,Italy Torino,Italy
1990,16,FW,Bebeto,1,TRUE,16-Feb-64,26,,Brazil Vasco da Gama,Brazil
1990,17,FW,Renato Gaúcho,2,FALSE,9-Sep-62,27,,Brazil Flamengo,Brazil
1990,18,MF,Mazinho,1,TRUE,8-Apr-66,24,,Brazil Vasco da Gama,Brazil
1990,19,DF,Ricardo Rocha,2,FALSE,11-Sep-62,27,,Brazil São Paulo,Brazil
1990,20,FW,Tita,1,TRUE,1-Apr-58,32,,Brazil Vasco da Gama,Brazil
1990,21,DF,Mauro Galvão,2,FALSE,19-Dec-61,28,,Brazil Botafogo,Brazil
1990,22,GK,Zé Carlos,2,FALSE,7-Feb-62,28,,Brazil Flamengo,Brazil
1994,1,GK,Taffarel,1,TRUE,8-May-66,28,,Italy Reggiana,Italy
1994,2,DF,Jorginho,1,TRUE,17-Aug-64,29,,Germany Bayern Munich,Germany
1994,3,DF,Ricardo Rocha,2,FALSE,11-Sep-62,31,,Brazil Vasco da Gama,Brazil
1994,4,DF,Ronaldão,1,TRUE,19-Jun-65,28,,Japan Shimizu S-Pulse,Japan
1994,5,MF,Mauro Silva,2,FALSE,12-Jan-68,26,,Spain Deportivo La Coruña,Spain
1994,6,DF,Branco,1,TRUE,4-Apr-64,30,,Brazil Fluminense,Brazil
1994,7,FW,Bebeto,1,TRUE,16-Feb-64,30,,Spain Deportivo La Coruña,Spain
1994,8,MF,Dunga,1,TRUE,31-Oct-63,30,,Germany VfB Stuttgart,Germany
1994,9,MF,Zinho,1,TRUE,17-Jun-67,27,,Brazil Palmeiras,Brazil
1994,10,MF,Raí,1,TRUE,15-May-65,29,,France Paris Saint-Germain,France
1994,11,FW,Romário,1,TRUE,29-Jan-66,28,,Spain Barcelona,Spain
1994,12,GK,Zetti,1,TRUE,10-Jan-65,29,,Brazil São Paulo,Brazil
1994,13,DF,Aldair,1,TRUE,30-Nov-65,28,,Italy Roma,Italy
1994,14,DF,Cafu,1,TRUE,7-Jun-70,24,,Brazil São Paulo,Brazil
1994,15,DF,Márcio Santos,2,FALSE,15-Sep-69,24,,France Bordeaux,France
1994,16,MF,Leonardo,1,TRUE,5-Sep-69,24,,Brazil São Paulo,Brazil
1994,17,MF,Mazinho,1,TRUE,8-Apr-66,28,,Brazil Palmeiras,Brazil
1994,18,FW,Paulo Sérgio,2,FALSE,2-Jun-69,25,,Germany Bayer Leverkusen,Germany
1994,19,FW,Müller,1,TRUE,31-Jan-66,28,,Brazil São Paulo,Brazil
1994,20,FW,Ronaldo,1,TRUE,22-Sep-76,17,,Brazil Cruzeiro,Brazil
1994,21,FW,Viola,1,TRUE,1-Jan-69,25,,Brazil Corinthians,Brazil
1994,22,GK,Gilmar,1,TRUE,13-Jan-59,35,,Brazil Flamengo,Brazil
1998,1,GK,Taffarel,1,TRUE,8-May-66,32,,Brazil Atlético Mineiro,Brazil
1998,2,DF,Cafu,1,TRUE,7-Jun-70,28,,Italy Roma,Italy
1998,3,DF,Aldair,1,TRUE,30-Nov-65,32,,Italy Roma,Italy
1998,4,DF,Júnior Baiano,2,FALSE,14-Mar-70,28,,Brazil Flamengo,Brazil
1998,5,MF,César Sampaio,2,FALSE,31-Mar-68,30,,Japan Yokohama Flügels,Japan
1998,6,DF,Roberto Carlos,2,FALSE,10-Apr-73,25,,Spain Real Madrid,Spain
1998,7,MF,Giovanni,1,TRUE,4-Feb-72,26,,Spain Barcelona,Spain
1998,8,MF,Dunga,1,TRUE,31-Oct-63,34,,Japan Júbilo Iwata,Japan
1998,9,FW,Ronaldo,1,TRUE,22-Sep-76,21,,Italy Internazionale,Italy
1998,10,MF,Rivaldo,1,TRUE,19-Apr-72,26,,Spain Barcelona,Spain
1998,11,MF,Emerson,1,TRUE,4-Apr-76,22,,Germany Bayer Leverkusen,Germany
1998,12,GK,Carlos Germano,2,FALSE,14-Aug-70,27,,Brazil Vasco da Gama,Brazil
1998,13,DF,Zé Carlos,2,FALSE,14-Nov-68,29,,Brazil São Paulo,Brazil
1998,14,DF,Gonçalves,1,TRUE,22-Feb-66,32,,Brazil Botafogo,Brazil
1998,15,DF,André Cruz,2,FALSE,20-Sep-68,29,,Italy Milan,Italy
1998,16,MF,Zé Roberto,2,FALSE,6-Jul-74,23,,Brazil Flamengo,Brazil
1998,17,MF,Doriva,1,TRUE,28-May-72,26,,Portugal Porto,Portugal
1998,18,MF,Leonardo,1,TRUE,5-Sep-69,28,,Italy Milan,Italy
1998,19,MF,Denílson,1,TRUE,24-Aug-77,20,,Brazil São Paulo,Brazil
1998,20,FW,Bebeto,1,TRUE,16-Feb-64,34,,Brazil Botafogo,Brazil
1998,21,FW,Edmundo,1,TRUE,2-Apr-71,27,,Italy Fiorentina,Italy
1998,22,GK,Dida,1,TRUE,7-Oct-73,24,,Brazil Cruzeiro,Brazil
2002,1,GK,Marcos,1,TRUE,4-Aug-73,28,15,Brazil Palmeiras,Brazil
2002,2,DF,Cafu,1,TRUE,7-Jun-70,31,103,Italy Roma,Italy
2002,3,DF,Lúcio,1,TRUE,8-May-78,24,15,Germany Bayer Leverkusen,Germany
2002,4,DF,Roque Júnior,2,FALSE,31-Aug-76,25,17,Italy Milan,Italy
2002,5,DF,Edmílson,1,TRUE,10-Jul-76,25,12,France Lyon,France
2002,6,DF,Roberto Carlos,2,FALSE,10-Apr-73,29,84,Spain Real Madrid,Spain
2002,7,MF,Ricardinho,1,TRUE,23-May-76,26,3,Brazil Corinthians,Brazil
2002,8,MF,Gilberto Silva,2,FALSE,7-Oct-76,25,6,Brazil Atlético Mineiro,Brazil
2002,9,FW,Ronaldo,1,TRUE,22-Sep-76,25,56,Italy Internazionale,Italy
2002,10,MF,Rivaldo,1,TRUE,19-Apr-72,30,58,Spain Barcelona,Spain
2002,11,MF,Ronaldinho,1,TRUE,21-Mar-80,22,24,France Paris Saint-Germain,France
2002,12,GK,Dida,1,TRUE,7-Oct-73,28,49,Brazil Corinthians,Brazil
2002,13,DF,Juliano Belletti,2,FALSE,20-Jun-76,25,10,Brazil São Paulo,Brazil
2002,14,DF,Ânderson Polga,2,FALSE,9-Feb-79,23,5,Brazil Grêmio,Brazil
2002,15,MF,Kléberson,1,TRUE,19-Jun-79,22,5,Brazil Atlético Paranaense,Brazil
2002,16,DF,Júnior,1,TRUE,20-Jun-73,28,12,Italy Parma,Italy
2002,17,FW,Denílson,1,TRUE,24-Aug-77,24,53,Spain Real Betis,Spain
2002,18,MF,Vampeta,1,TRUE,13-Mar-74,28,36,Brazil Corinthians,Brazil
2002,19,MF,Juninho,1,TRUE,22-Feb-73,29,43,Brazil Flamengo,Brazil
2002,20,FW,Edílson,1,TRUE,17-Sep-71,30,17,Brazil Cruzeiro,Brazil
2002,21,FW,Luizão,1,TRUE,14-Nov-75,26,8,Brazil Grêmio,Brazil
2002,22,GK,Rogério Ceni,2,FALSE,22-Jan-73,29,12,Brazil São Paulo,Brazil
2002,23,MF,Kaká,1,TRUE,22-Apr-82,20,2,Brazil São Paulo,Brazil
2006,1,GK,Dida,1,TRUE,7-Oct-73,32,86,Italy Milan,Italy
2006,2,DF,Cafu,1,TRUE,7-Jun-70,36,138,Italy Milan,Italy
2006,3,DF,Lúcio,1,TRUE,8-May-78,28,50,Germany Bayern Munich,Germany
2006,4,DF,Juan,1,TRUE,1-Feb-79,27,38,Germany Bayer Leverkusen,Germany
2006,5,MF,Emerson,1,TRUE,4-Apr-76,30,70,Italy Juventus,Italy
2006,6,DF,Roberto Carlos,2,FALSE,10-Apr-73,33,121,Spain Real Madrid,Spain
2006,7,FW,Adriano,1,TRUE,17-Feb-82,24,32,Italy Internazionale,Italy
2006,8,MF,Kaká,1,TRUE,22-Apr-82,24,38,Italy Milan,Italy
2006,9,FW,Ronaldo,1,TRUE,22-Sep-76,29,92,Spain Real Madrid,Spain
2006,10,MF,Ronaldinho,1,TRUE,21-Mar-80,26,63,Spain Barcelona,Spain
2006,11,MF,Zé Roberto,2,FALSE,6-Jul-74,31,79,Germany Bayern Munich [60],Germany
2006,12,GK,Rogério Ceni,2,FALSE,22-Jan-73,33,15,Brazil São Paulo,Brazil
2006,13,DF,Cicinho,1,TRUE,24-Jun-80,25,10,Spain Real Madrid,Spain
2006,14,DF,Luisão,1,TRUE,13-Feb-81,25,19,Portugal Benfica,Portugal
2006,15,DF,Cris,1,TRUE,3-Jun-77,29,16,France Lyon,France
2006,16,DF,Gilberto,1,TRUE,25-Apr-76,30,9,Germany Hertha BSC,Germany
2006,17,MF,Gilberto Silva,2,FALSE,7-Oct-76,29,36,England Arsenal,England
2006,18,MF,Mineiro,1,TRUE,2-Aug-75,30,2,Brazil São Paulo [61],Brazil
2006,19,MF,Juninho,1,TRUE,30-Jan-75,31,37,France Lyon,France
2006,20,MF,Ricardinho,1,TRUE,23-May-76,30,19,Brazil Corinthians,Brazil
2006,21,FW,Fred,1,TRUE,3-Oct-83,22,3,France Lyon,France
2006,22,GK,Júlio César,2,FALSE,3-Sep-79,26,11,Italy Internazionale,Italy
2006,23,FW,Robinho,1,TRUE,25-Jan-84,22,23,Spain Real Madrid,Spain
2010,1,GK,Júlio César,2,FALSE,3-Sep-79,30,47,Italy Internazionale,Italy
2010,2,DF,Maicon,1,TRUE,26-Jul-81,28,56,Italy Internazionale,Italy
2010,3,DF,Lúcio,1,TRUE,8-May-78,32,89,Italy Internazionale,Italy
2010,4,DF,Juan,1,TRUE,1-Feb-79,31,73,Italy Roma,Italy
2010,5,MF,Felipe Melo,2,FALSE,26-Aug-83,26,16,Italy Juventus,Italy
2010,6,DF,Michel Bastos,2,FALSE,2-Aug-83,26,3,France Lyon,France
2010,7,MF,Elano,1,TRUE,14-Jun-81,28,41,Turkey Galatasaray,Turkey
2010,8,MF,Gilberto Silva,2,FALSE,7-Oct-76,33,86,Greece Panathinaikos,Greece
2010,9,FW,Luís Fabiano,2,FALSE,8-Nov-80,29,36,Spain Sevilla,Spain
2010,10,MF,Kaká,1,TRUE,22-Apr-82,28,76,Spain Real Madrid,Spain
2010,11,FW,Robinho,1,TRUE,25-Jan-84,26,73,Brazil Santos,Brazil
2010,12,GK,Gomes,1,TRUE,15-Feb-81,29,9,England Tottenham Hotspur,England
2010,13,DF,Daniel Alves,2,FALSE,6-May-83,27,33,Spain Barcelona,Spain
2010,14,DF,Luisão,1,TRUE,13-Feb-81,29,40,Portugal Benfica,Portugal
2010,15,DF,Thiago Silva,2,FALSE,22-Sep-84,25,4,Italy Milan,Italy
2010,16,DF,Gilberto,1,TRUE,25-Apr-76,34,32,Brazil Cruzeiro,Brazil
2010,17,MF,Josué,1,TRUE,19-Jul-79,30,26,Germany VfL Wolfsburg,Germany
2010,18,MF,Ramires,1,TRUE,24-Mar-87,23,11,Portugal Benfica,Portugal
2010,19,MF,Júlio Baptista,2,FALSE,1-Oct-81,28,45,Italy Roma,Italy
2010,20,MF,Kléberson,1,TRUE,19-Jun-79,30,31,Brazil Flamengo,Brazil
2010,21,FW,Nilmar,1,TRUE,14-Jul-84,25,15,Spain Villarreal,Spain
2010,22,GK,Doni,1,TRUE,22-Oct-79,30,10,Italy Roma,Italy
2010,23,FW,Grafite,1,TRUE,2-Apr-79,31,2,Germany VfL Wolfsburg,Germany
2014,1,GK,Jefferson,1,TRUE,2-Jan-83,31,9,Brazil Botafogo,Brazil
2014,2,DF,Daniel Alves,2,FALSE,6-May-83,31,73,Spain Barcelona,Spain
2014,3,DF,Thiago Silva,2,FALSE,22-Sep-84,29,45,France Paris Saint-Germain,France
2014,4,DF,David Luiz,2,FALSE,22-Apr-87,27,34,England Chelsea,England
2014,5,MF,Fernandinho,1,TRUE,4-May-85,29,6,England Manchester City,England
2014,6,DF,Marcelo,1,TRUE,12-May-88,26,29,Spain Real Madrid,Spain
2014,7,MF,Ramires,1,TRUE,24-Mar-87,27,41,England Chelsea,England
2014,8,MF,Hernanes,1,TRUE,29-May-85,29,23,Italy Internazionale,Italy
2014,9,FW,Fred,1,TRUE,3-Oct-83,30,31,Brazil Fluminense,Brazil
2014,10,FW,Neymar,1,TRUE,5-Feb-92,22,47,Spain Barcelona,Spain
2014,11,MF,Oscar,1,TRUE,9-Sep-91,22,29,England Chelsea,England
2014,12,GK,Júlio César,2,FALSE,3-Sep-79,34,78,Canada Toronto,Canada
2014,13,DF,Maicon,1,TRUE,26-Jul-81,32,70,Italy Roma,Italy
2014,14,DF,Dante,1,TRUE,18-Oct-83,30,11,Germany Bayern Munich,Germany
2014,15,DF,Henrique,1,TRUE,14-Oct-86,27,4,Italy Napoli,Italy
2014,16,DF,Maxwell,1,TRUE,27-Aug-81,32,7,France Paris Saint-Germain,France
2014,17,MF,Luiz Gustavo,2,FALSE,23-Jul-87,26,17,Germany VfL Wolfsburg,Germany
2014,18,MF,Paulinho,1,TRUE,25-Jul-88,25,25,England Tottenham Hotspur,England
2014,19,FW,Hulk,1,TRUE,25-Jul-86,27,33,Russia Zenit Saint Petersburg,Russia
2014,20,MF,Bernard,1,TRUE,8-Sep-92,21,10,Ukraine Shakhtar Donetsk,Ukraine
2014,21,FW,Jô,1,TRUE,20-Mar-87,27,15,Brazil Atlético Mineiro,Brazil
2014,22,MF,Willian,1,TRUE,9-Aug-88,25,5,England Chelsea,England
2014,23,GK,Victor,1,TRUE,21-Jan-83,31,6,Brazil Atlético Mineiro,Brazil
