Year,AvgAge
1930,24
1934,23.78947368
1938,25.5
1950,26.86363636
1954,25.40909091
1958,25.18181818
1962,27.27272727
1966,26.27272727
1970,24.5
1974,25.59090909
1978,24.95454545
1982,26.45454545
1986,26.59090909
1990,26.22727273
1994,27.40909091
1998,27.40909091
2002,26.17391304
2006,28.34782609
2010,28.60869565
2014,27.82608696
